coor,Post,Status,Afstand_fra,tid,tidSamlet
"[56.40912104398012, 9.252696074545383]",Post0,OK,6.43,00:00:00,
"[56.4078632555902, 9.244662774726748]",Post1,OK,6.14,00:06:07,00:06:07
"[56.40720251016319, 9.245913689956069]",Post2,OK,14.79,00:01:46,00:07:53
"[56.40897201374173, 9.24722570925951]",Post3,OK,0.66,00:04:46,00:12:39
"[56.4116139896214, 9.246318116784096]",Post4,OK,0.51,00:04:35,00:17:14
"[56.41348541714251, 9.249175591394305]",Post5,OK,10.23,00:03:17,00:20:31
"[56.415974758565426, 9.246267657727003]",Post6,OK,6.52,00:07:47,00:28:18
"[56.417274456471205, 9.249723348766565]",Post7,OK,1.11,00:03:40,00:31:58
"[56.421021753922105, 9.26861104555428]",Post8,OK,12.93,00:14:08,00:46:06
"[56.422920590266585, 9.267533384263515]",Post9,OK,4.74,00:10:36,00:56:42
"[56.42266184091568, 9.262767769396305]",Post10,OK,6.33,00:05:09,01:01:51
"[56.419039852917194, 9.263846101239324]",Post11,OK,2.53,00:07:33,01:09:24
"[56.41827483661473, 9.259188696742058]",Post12,OK,3.33,00:05:02,01:14:26
"[56.41640265472233, 9.25685416907072]",Post13,OK,8.26,00:03:25,01:17:51
"[56.41503883525729, 9.251840617507696]",Post14,OK,3.95,00:05:36,01:23:27
"[56.411934178322554, 9.25280730240047]",Post15,OK,4.21,00:05:08,01:28:35
"[56.40920100733638, 9.254099624231458]",Post16,OK,3.33,00:04:16,01:32:51
"[56.40791782177985, 9.252306064590812]",Post17,OK,9.24,00:01:42,01:34:33
